# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-a" "data/afum_ann.gff" "-o" "feature_counts/control_3/control_3_counts.txt" "star_align/control_3/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star_align/control_3/Aligned.sortedByCoord.out.bam
Afu2g12810	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	3283641;3284391;3284736	3283785;3284533;3286239	+;+;+	1792	39
Afu1g00890	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	325118;326160;326861;327411;327733;328030	326108;326805;327211;327687;327976;328217	-;-;-;-;-;-	2697	81
Afu3g05420	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	1302885;1303001;1303208;1303327;1303685;1303909;1304091;1304174;1304283	1302942;1303150;1303243;1303584;1303832;1304040;1304111;1304228;1304315	-;-;-;-;-;-;-;-;-	891	998
Afu7g05250	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	1244340;1247363	1247300;1248747	+;+	4346	1183
Afu7g04020	Chr7_A_fumigatus_Af293	902260	904853	-	2594	114
Afu5g14010	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3661317;3661707;3662231	3661643;3662174;3663206	+;+;+	1771	119
Afu3g12310	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	3243417;3245833	3245731;3246090	-;-	2573	1095
Afu2g11340	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2921251;2921405;2921690	2921346;2921621;2922123	-;-;-	747	3169
Afu2g08100	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2101513;2102494	2101609;2102711	+;+	315	64
Afu1g17160	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4678108;4678980;4679129;4679306;4679650;4679797	4678926;4679075;4679254;4679590;4679745;4680048	-;-;-;-;-;-	1674	6
Afu1g15780	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4263452;4263748;4264433;4264587;4264751;4264839	4263687;4264375;4264528;4264655;4264771;4264991	-;-;-;-;-;-	1203	1311
Afu5g14950	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3870635;3870730;3870960;3872144	3870673;3870892;3872094;3872465	+;+;+;+	1659	394
Afu2g14210	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	3720983;3721393;3723178	3721319;3723108;3723226	+;+;+	2102	2703
Afu1g12610	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3331407;3331567;3331666;3333462	3331481;3331598;3333400;3333764	+;+;+;+	2145	6148
Afu2g04150	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	1138228;1139180;1139800;1140529;1140934;1141131;1141450	1139116;1139731;1140472;1140857;1141067;1141390;1141707	-;-;-;-;-;-;-	3095	365
Afu1g17150	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4675678;4676315;4676856;4677376	4676262;4676806;4677330;4678035	+;+;+;+	2212	69
Afu4g01350	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	353357;354533;354670;354849	354476;354616;354795;356355	-;-;-;-	2837	1218
Afu3g12990	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	3450972;3452429;3453393	3452382;3453264;3453822	-;-;-	2677	147
Afu4g04580	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	1289179;1289378	1289272;1289463	+;+	180	13
Afu8g01950	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	505322;505376;505555;505654;505918	505353;505537;505615;505868;506014	-;-;-;-;-	567	1
Afu2g08360	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2153018;2153766	2153697;2153922	-;-	837	684
Afu5g03780	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	1017353;1017625;1017849	1017514;1017782;1017915	+;+;+	387	422
Afu7g01730	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	464289;464636	464585;466314	+;+	1976	274
Afu3g02150	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	531411;531635;532610;532895	531587;532558;532826;532926	-;-;-;-	1350	0
Afu2g15360	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	4063001;4063689	4063637;4063921	-;-	870	43
Afu5g11270	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	2887146;2888293;2888452;2888649	2888228;2888382;2888567;2889076	-;-;-;-	1717	1512
Afu2g03770	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	1004712;1004812	1004762;1005468	+;+	708	154
Afu1g06630	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1895054;1895559;1895885;1896437	1895456;1895805;1896378;1896487	+;+;+;+	1195	552
Afu1g02950	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	843296;844197;844443;844658	844148;844392;844599;844729	-;-;-;-	1278	1587
Afu6g11720	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2917428;2918609;2918795	2918559;2918745;2918974	-;-;-	1449	6
Afu3g10510	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2718533;2718701;2718847	2718627;2718790;2718868	-;-;-	207	393
Afu8g04310	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	964441;966053	965740;970220	-;-	5468	11894
Afu3g03135	Chr3_A_fumigatus_Af293	842272	842387	+	116	0
Afu4g13250	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	3469393;3469617	3469559;3471315	+;+	1866	721
Afu1g10850	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2828496;2828619	2828552;2828843	-;-	282	777
Afu5g14845	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3836427;3836759;3837025	3836653;3836962;3837563	+;+;+	970	69
Afu8g04970	Chr8_A_fumigatus_Af293	1146748	1147908	+	1161	167
Afu1g03970	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1144165;1144871;1147462;1148058	1144814;1147383;1147980;1148276	-;-;-;-	3901	3154
Afu6g07850	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1802868;1804752	1804677;1806130	-;-	3189	4627
Afu5g00930	Chr5_A_fumigatus_Af293	242866	244662	+	1797	9
Afu2g10375	Chr2_A_fumigatus_Af293	2654670	2654785	+	116	9
Afu2g16470	Chr2_A_fumigatus_Af293	4372501	4373439	-	939	164
Afu2g17790	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	4731728;4732273;4733163	4732200;4733105;4733647	+;+;+	1791	63
Afu6g10360	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2558547;2559210	2559163;2561997	+;+	3405	1083
Afu2g17540	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	4679983;4680368;4681514	4680315;4681466;4682076	+;+;+	1995	473
Afu6g12250	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	3077412;3078131;3079364	3078080;3079310;3079875	-;-;-	2361	320
Afu6g09307	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2218095;2218875;2219002;2219367;2219475;2219842;2220105;2220519;2220732;2220990;2221454;2221729;2221992;2222168;2222396;2222469;2222650;2222736	2218819;2218943;2219313;2219411;2219783;2220057;2220465;2220670;2220929;2221384;2221676;2221876;2222106;2222338;2222416;2222568;2222685;2223072	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3933	1022
Afu7g04980	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	1173749;1173894	1173841;1174571	+;+	771	18
Afu3g13700	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	3612573;3612931;3613525;3614610	3612857;3613488;3614556;3615716	+;+;+;+	2982	815
Afu6g11120	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2740296;2742030	2741894;2746562	-;-	6132	636
Afu2g08230	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2123914;2124797;2125122	2124742;2125052;2125698	+;+;+	1662	199
Afu1g05490	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1568506;1572112	1572039;1572348	+;+	3771	3704
Afu3g04210	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	1182737;1182908;1187934	1182847;1187853;1190107	-;-;-	7231	13285
Afu3g02175	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	539781;540648;540830	540565;540774;541006	-;-;-	1089	185
Afu1g05260	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1511461;1512324;1512557;1513090;1513314;1513528;1514034;1514504;1514675	1512264;1512506;1513040;1513261;1513475;1513974;1514454;1514618;1514706	+;+;+;+;+;+;+;+;+	2820	255
Afu6g03390	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	724736;725740;725969;726154;726257	725630;725899;726098;726199;726586	+;+;+;+;+	1561	269
Afu5g03950	Chr5_A_fumigatus_Af293	1051107	1054046	-	2940	51
Afu1g09220	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2393545;2393761;2394182	2393599;2394124;2394473	+;+;+	711	192
Afu6g09300	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2214428;2215286;2215614;2216073;2216511	2215231;2215547;2215936;2216446;2217547	+;+;+;+;+	2800	702
Afu1g07300	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2067286;2067575	2067512;2068888	+;+	1541	583
Afu8g04860	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1119188;1119333;1119571	1119319;1119514;1119970	+;+;+	714	148
Afu6g10680	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2640275;2640788;2641408	2640737;2641349;2641930	-;-;-	1548	236
Afu2g05810	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	1632693;1633185;1633874	1633108;1633820;1634195	-;-;-	1374	1246
Afu4g07870	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	2054056;2054318;2054658;2054817	2054259;2054601;2054757;2055033	-;-;-;-	805	275
Afu4g03230	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	909027;909108	909041;909488	+;+	396	18
Afu6g03950	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	874643;876950	876899;879493	-;-	4801	1034
Afu1g11545	Chr1_A_fumigatus_Af293	3048109	3048137	-	29	48
Afu8g02800	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	749247;749813	749733;750408	+;+	1083	648
Afu2g10680	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2732329;2732705	2732439;2732845	+;+	252	4
Afu7g04370	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	991337;991455	991416;992115	-;-	741	58
Afu7g04850	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	1136428;1136814;1137196;1137440;1137538	1136757;1137148;1137391;1137484;1137699	-;-;-;-;-	1068	16
Afu5tL(UAA)1	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	2691096;2691190	2691139;2691226	-;-	81	1
Afu1g07450	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2105349;2106489;2106725;2106916;2107098;2107204;2107296	2106424;2106666;2106858;2107029;2107139;2107241;2107672	-;-;-;-;-;-;-	1959	4537
Afu4g04010	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	1129424;1130230;1130393;1130565;1130683;1130820;1131459;1131640	1130177;1130344;1130511;1130632;1130773;1131408;1131594;1131785	+;+;+;+;+;+;+;+	2018	35
Afu3g15070	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	3973609;3973977;3974296	3973921;3974248;3974896	-;-;-	1186	16
Afu6g06770	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1478617;1479701;1480113;1480224;1480607	1479642;1480040;1480169;1480356;1481375	-;-;-;-;-	2325	31073
Afu8g00370	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	79285;80197;80560;80794;86283	80133;80511;80731;86223;86887	-;-;-;-;-	7371	1438
Afu1g11280	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2975216;2976282	2976207;2976631	+;+	1342	5
Afu6g12960	Chr6_A_fumigatus_Af293	3271271	3272391	+	1121	789
Afu4g03580	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	1008289;1008389	1008344;1009112	+;+	780	91
Afu6g13405	Chr6_A_fumigatus_Af293	3410055	3410237	+	183	15
Afu3g11420	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2995985;2996192;2996545	2996088;2996436;2996699	-;-;-	504	221
Afu4g09740	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	2536569;2536869;2537349	2536742;2537239;2538826	+;+;+	2023	2267
Afu4g07800	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	2039861;2040485;2040646	2040417;2040589;2041581	+;+;+	1598	343
Afu6g09700	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2364356;2364994	2364943;2365341	+;+	936	668
Afu8g05000	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1154887;1155887	1155804;1156286	-;-	1318	302
Afu1g09600	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2479941;2480391	2480322;2480773	+;+	765	961
Afu6g09200	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2184240;2184359	2184303;2185095	+;+	801	326
Afu1g13070	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3467303;3467597	3467512;3468490	+;+	1104	451
Afu6g11420	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2832631;2834194;2834585	2834142;2834528;2835463	-;-;-	2726	63
Afu6g03360	Chr6_A_fumigatus_Af293	714435	715511	-	1077	21
Afu2g13630	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	3545634;3546209;3546480;3546598;3546687;3546802;3547019;3547145;3548043	3546139;3546423;3546516;3546629;3546729;3546969;3547095;3547969;3548422	+;+;+;+;+;+;+;+;+	2283	1202
Afu2g04470	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	1230867;1231194	1231121;1232641	+;+	1703	1674
Afu1g08780	Chr1_A_fumigatus_Af293	2258123	2259640	-	1518	88
Afu1g06740	Chr1_A_fumigatus_Af293	1927878	1928844	-	967	315
Afu6g13840	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	3534932;3535087;3535265	3535006;3535198;3535452	+;+;+	375	116
Afu8g04120	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	897824;898494;898619;898835;898942;899106;899190;899383;899571;899728	898393;898552;898772;898885;899058;899121;899313;899499;899669;900076	-;-;-;-;-;-;-;-;-;-	1656	183
Afu6g07430	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1676568;1677681;1677795;1677909;1678051;1678273;1679165;1679306	1677588;1677725;1677841;1677989;1678172;1679106;1679246;1680500	+;+;+;+;+;+;+;+	3427	7439
Afu2g06310	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	1811075;1811457;1811581	1811379;1811528;1813063	-;-;-	1860	1431
Afu5g03040	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	820242;821071;821478;822893	820993;821415;822842;823363	+;+;+;+	2933	1305
Afu1g09330	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2420221;2420524;2421303	2420460;2421236;2422052	+;+;+	1703	1946
